SITE,MPA_Name,MPA_Estab_Yr,Protection
AGR-00001,NA,NA,NA
AGR-00002,NA,NA,NA
AGR-00004,NA,NA,NA
AGR-00005,NA,NA,NA
AGR-00006,NA,NA,NA
AGR-00007,NA,NA,NA
AGR-00050,NA,NA,NA
AGR-00051,NA,NA,NA
AGR-00052,NA,NA,NA
AGR-00053,NA,NA,NA
AGR-00054,NA,NA,NA
AGR-00055,NA,NA,NA
AGR-00056,NA,NA,NA
AGR-00057,NA,NA,NA
AGR-00061,NA,NA,NA
AGR-00079,NA,NA,NA
AGR-00084,NA,NA,NA
AGR-00086,NA,NA,NA
AGR-00087,NA,NA,NA
AGR-00090,NA,NA,NA
AGR-00097,NA,NA,NA
AGR-00113,NA,NA,NA
AGR-00127,NA,NA,NA
AGR-00131,NA,NA,NA
AGR-00134,NA,NA,NA
AGR-00136,NA,NA,NA
AGR-00137,NA,NA,NA
AGR-00138,NA,NA,NA
AGR-00141,NA,NA,NA
AGR-00148,NA,NA,NA
AGR-00149,NA,NA,NA
AGR-00164,NA,NA,NA
AGR-00180,NA,NA,NA
AGR-00181,NA,NA,NA
AGR-00188,NA,NA,NA
AGR-00195,NA,NA,NA
AGR-00207,NA,NA,NA
AGR-00211,NA,NA,NA
AGR-00213,NA,NA,NA
AGR-00220,NA,NA,NA
AGR-00221,NA,NA,NA
AGR-00226,NA,NA,NA
AGR-00230,NA,NA,NA
AGR-00231,NA,NA,NA
AGR-00236,NA,NA,NA
AGR-00239,NA,NA,NA
AGR-00240,NA,NA,NA
AGR-00246,NA,NA,NA
AGR-00248,NA,NA,NA
AGR-00250,NA,NA,NA
AGR-00252,NA,NA,NA
AGR-00259,NA,NA,NA
AGR-00260,NA,NA,NA
AGU-00002,NA,NA,NA
AGU-00003,NA,NA,NA
AGU-00050,NA,NA,NA
AGU-00051,NA,NA,NA
AGU-00052,NA,NA,NA
AGU-00053,NA,NA,NA
AGU-00064,NA,NA,NA
AGU-00066,NA,NA,NA
AGU-00075,NA,NA,NA
AGU-00078,NA,NA,NA
AGU-00079,NA,NA,NA
AGU-00086,NA,NA,NA
AGU-00095,NA,NA,NA
AGU-00096,NA,NA,NA
AGU-00100,NA,NA,NA
AGU-00103,NA,NA,NA
AGU-00105,NA,NA,NA
AGU-00114,NA,NA,NA
AGU-00118,NA,NA,NA
AGU-00120,NA,NA,NA
AGU-00127,NA,NA,NA
AGU-00130,NA,NA,NA
AGU-00133,NA,NA,NA
AGU-00134,NA,NA,NA
AGU-00138,NA,NA,NA
AGU-00142,NA,NA,NA
AGU-00144,NA,NA,NA
AGU-00200,NA,NA,NA
AGU-00202,NA,NA,NA
AGU-00341,NA,NA,NA
AGU-00350,NA,NA,NA
AGU-00365,NA,NA,NA
AGU-00367,NA,NA,NA
AGU-00369,NA,NA,NA
AGU-00370,NA,NA,NA
AGU-00373,NA,NA,NA
AGU-00374,NA,NA,NA
AGU-00375,NA,NA,NA
AGU-00376,NA,NA,NA
AGU-00380,NA,NA,NA
AGU-00384,NA,NA,NA
AGU-00385,NA,NA,NA
AGU-00386,NA,NA,NA
AGU-00387,NA,NA,NA
AGU-00388,NA,NA,NA
AGU-00389,NA,NA,NA
ALA-00002,NA,NA,NA
ALA-00003,NA,NA,NA
ALA-00050,NA,NA,NA
ALA-00051,NA,NA,NA
