SITE,METHOD,OBS_YEAR,SITEVISITID,DATE_,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,HABITAT_CODE,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,TUT2012,OTHER_AREA_GROUPING,BENTHIC_SEC_CODE,SITE_MIN_DEPTH_FT,SITE_MAX_DEPTH_FT,CLIMATE_STATION_YN,PERM_SITE,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
AGR-00001,nSPC,2009,1963,0005-02-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.74818,145.6941,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00002,nSPC,2009,1964,0005-02-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.72673,145.66322,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00004,nSPC,2009,1970,0005-03-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.80747,145.64882,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00005,nSPC,2009,1971,0005-03-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.79245,145.63982,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00006,nSPC,2009,1965,0005-02-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.75735,145.64033,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00007,nSPC,2009,1972,0005-03-09,MARIAN,Agrihan,Forereef,Mid,UNK,18.79776626,145.6876593,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00050,nSPC,2009,1966,0005-02-09,MARIAN,Agrihan,Forereef,Deep,UNK,18.77181849,145.7001984,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00051,nSPC,2009,1967,0005-02-09,MARIAN,Agrihan,Forereef,Deep,UNK,18.72523639,145.6697475,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00052,nSPC,2009,1968,0005-02-09,MARIAN,Agrihan,Forereef,Shallow,UNK,18.76066997,145.6394618,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00053,nSPC,2009,1969,0005-02-09,MARIAN,Agrihan,Forereef,Shallow,UNK,18.77041871,145.6382,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00054,nSPC,2009,1973,0005-03-09,MARIAN,Agrihan,Forereef,Deep,UNK,18.81122164,145.6767676,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00055,nSPC,2009,1974,0005-03-09,MARIAN,Agrihan,Forereef,Shallow,UNK,18.80298316,145.6484187,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00056,nSPC,2009,1975,0005-03-09,MARIAN,Agrihan,Forereef,Shallow,UNK,18.77903237,145.6370976,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00057,nSPC,2009,1976,0005-03-09,MARIAN,Agrihan,Forereef,Deep,UNK,18.776711,145.6347193,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00061,nSPC,2011,3660,NA,MARIAN,Agrihan,Forereef,Deep,MIX,18.78958267,145.698549,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00079,nSPC,2011,3653,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.7629941,145.7023805,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00084,nSPC,2011,3671,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.788402,145.6392749,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00086,nSPC,2011,3675,NA,MARIAN,Agrihan,Forereef,Deep,ROB,18.77151682,145.6367782,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00087,nSPC,2011,3661,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.77599301,145.7004052,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00090,nSPC,2011,3651,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.79685573,145.6918644,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00097,nSPC,2011,3652,NA,MARIAN,Agrihan,Forereef,Deep,AGR,18.78374208,145.6993967,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00113,nSPC,2011,3668,NA,MARIAN,Agrihan,Forereef,Mid,AGR,18.75145021,145.639359,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
AGR-00127,nSPC,2011,3662,NA,MARIAN,Agrihan,Forereef,Mid,MIX,18.73794705,145.6883491,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2011,NA,NA,AGR,NA,NA,0,0,NA,
