,SITE,SITEVISITID,DATE_,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,MEAN_HII_40,MEAN_HII_40_ADJUSTED_BY_AREA,SITEVISITI,TUR_MEAN,TUR_SD,TUR_CLIM_M,TUR_ANOM_M,TUR_ANOM_F,SST_MEAN,SST_SD,SST_CLIM_M,SST_ANOM_M,SST_ANOM_F,PAR_MEAN,PAR_SD,PAR_CLIM_M,PAR_ANOM_M,PAR_ANOM_F,CHL_MEAN,CHL_SD,CHL_CLIM_M,CHL_ANOM_M,CHL_ANOM_F,WAVES_MEAN,WAVES_SD,WAVES_CLIM,WAVES_ANOM,WAVES_AN_1
1,AGR-00001,1963,5/2/09,2009,MARIAN,Agrihan,Forereef,Mid,18.74818,145.6941,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1963,0.000102,5.00E-05,0.00027,7.40E-05,0.142292,28.45626,1.161693,29.06,1.206583,0.339744,42.93577,8.455167,57.6036,4.729518,0.173913,0.041002,0.012063,0.11882,0.015951,0.115942,NA,NA,NA,NA,NA
2,AGR-00002,1964,5/2/09,2009,MARIAN,Agrihan,Forereef,Mid,18.72673,145.66322,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1964,9.40E-05,5.30E-05,3.00E-04,9.60E-05,0.130435,28.45626,1.161693,29.06,1.206583,0.339744,43.321863,8.094295,57.5608,5.130225,0.206522,0.039779,0.01145,0.08764,0.018385,0.061594,NA,NA,NA,NA,NA
3,AGR-00004,1970,5/3/09,2009,MARIAN,Agrihan,Forereef,Mid,18.80747,145.64882,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1970,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.426593,1.194875,29.256,0.975417,0.282051,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
4,AGR-00005,1971,5/3/09,2009,MARIAN,Agrihan,Forereef,Mid,18.79245,145.63982,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1971,9.70E-05,5.20E-05,0.00027,7.60E-05,0.081028,28.420661,1.173132,29.539,0.701667,0.161859,42.846638,8.711686,57.2715,4.72311,0.195652,0.039773,0.010161,0.0699,0.01167,0.134058,NA,NA,NA,NA,NA
5,AGR-00006,1965,5/2/09,2009,MARIAN,Agrihan,Forereef,Mid,18.75735,145.64033,0,Agrihan,0,0,HAPHAZARD,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1965,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
6,AGR-00007,1972,5/3/09,2009,MARIAN,Agrihan,Forereef,Mid,18.79776626,145.6876593,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefMid,Agrihan,NA,NA,NA,NA,7.2,7.2,1972,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.440668,1.16468,29.444,0.808583,0.200321,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
7,AGR-00050,1966,5/2/09,2009,MARIAN,Agrihan,Forereef,Deep,18.77181849,145.7001984,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,1966,0.000108,4.90E-05,0.00027,7.50E-05,0.114625,28.441149,1.186858,29.08,1.116833,0.333333,42.288607,8.801989,57.5481,5.557794,0.193841,0.042724,0.012024,0.09351,0.016565,0.074275,NA,NA,NA,NA,NA
8,AGR-00051,1967,5/2/09,2009,MARIAN,Agrihan,Forereef,Deep,18.72523639,145.6697475,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefDeep,Agrihan,NA,NA,NA,NA,7.2,7.2,1967,0.000109,5.10E-05,3.00E-04,8.30E-05,0.114625,28.45626,1.161693,29.06,1.206583,0.339744,43.187623,8.2745,57.206,4.972093,0.193841,0.040405,0.010452,0.08805,0.016909,0.150362,NA,NA,NA,NA,NA
9,AGR-00052,1968,5/2/09,2009,MARIAN,Agrihan,Forereef,Shallow,18.76066997,145.6394618,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,1968,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
10,AGR-00053,1969,5/2/09,2009,MARIAN,Agrihan,Forereef,Shallow,18.77041871,145.6382,0,Agrihan,0,0,RANDOM,RAMP_BASIC,2009,ForereefShallow,Agrihan,NA,NA,NA,NA,7.2,7.2,1969,5.50E-05,4.10E-05,0.00015,4.50E-05,0.049407,28.420661,1.173132,29.539,0.701667,0.161859,42.123241,8.535653,56.6322,4.812775,0.195652,0.035035,0.011094,0.0774,0.009799,0.057971,NA,NA,NA,NA,NA
