SITE,SITEVISITID,DATE_,OBS_YEAR,REGION,ISLAND,REEF_ZONE,DEPTH_BIN,LATITUDE,LONGITUDE,EXCLUDE_FLAG,SEC_NAME,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,ANALYSIS_YEAR,ANALYSIS_STRATA,ANALYSIS_SEC,MPA_Name,MPA_Estab_Yr,Protection,TUT2012,OTHER_AREA_GROUPING
ATA-00053,5836,6/18/13,2013,CT,Timor Leste,Forereef,Mid,-8.22678868,125.5241346,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,ATA,NA,NA,NA,NA,
ATA-00058,5830,6/18/13,2013,CT,Timor Leste,Forereef,Shallow,-8.2207719,125.5462159,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,ATA,NA,NA,NA,NA,
ATA-00062,5835,6/18/13,2013,CT,Timor Leste,Forereef,Mid,-8.15301334,125.6024217,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,ATA,NA,NA,NA,NA,
ATA-00063,5828,6/18/13,2013,CT,Timor Leste,Forereef,Shallow,-8.19646027,125.5627068,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,ATA,NA,NA,NA,NA,
ATA-00066,5831,6/18/13,2013,CT,Timor Leste,Forereef,Mid,-8.21972491,125.5340133,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,ATA,NA,NA,NA,NA,
ATA-00070,5834,6/18/13,2013,CT,Timor Leste,Forereef,Mid,-8.21389169,125.5513343,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,ATA,NA,NA,NA,NA,
ATA-00074,5827,6/18/13,2013,CT,Timor Leste,Forereef,Shallow,-8.17821957,125.5809595,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,ATA,NA,NA,NA,NA,
ATA-00075,5833,6/18/13,2013,CT,Timor Leste,Forereef,Shallow,-8.17205518,125.5864544,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,ATA,NA,NA,NA,NA,
ATA-00076,5832,6/18/13,2013,CT,Timor Leste,Forereef,Mid,-8.18486843,125.5736666,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,ATA,NA,NA,NA,NA,
ATA-00077,5829,6/18/13,2013,CT,Timor Leste,Forereef,Shallow,-8.15966154,125.5940917,-1,ATA,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,ATA,NA,NA,NA,NA,
BAU-00001,5858,6/23/13,2013,CT,Timor Leste,Forereef,Mid,-8.41600872,126.4121056,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00003,5861,6/23/13,2013,CT,Timor Leste,Forereef,Shallow,-8.44550363,126.4921857,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00006,5863,6/23/13,2013,CT,Timor Leste,Forereef,Mid,-8.43360342,126.4563984,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00009,5844,6/20/13,2013,CT,Timor Leste,Forereef,Mid,-8.41959156,126.4270889,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00010,5851,6/20/13,2013,CT,Timor Leste,Forereef,Mid,-8.46695602,125.9317342,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00014,5864,6/23/13,2013,CT,Timor Leste,Forereef,Shallow,-8.42823615,126.4481848,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00019,5859,6/23/13,2013,CT,Timor Leste,Forereef,Shallow,-8.44240752,126.4775978,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00022,5860,6/23/13,2013,CT,Timor Leste,Forereef,Mid,-8.42210362,126.4412227,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00028,5862,6/23/13,2013,CT,Timor Leste,Forereef,Shallow,-8.43897052,126.4675049,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00032,5850,6/20/13,2013,CT,Timor Leste,Forereef,Shallow,-8.42236673,126.3717493,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00034,5849,6/20/13,2013,CT,Timor Leste,Forereef,Mid,-8.44099198,126.3444937,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00039,5847,6/20/13,2013,CT,Timor Leste,Forereef,Mid,-8.42505606,126.3839697,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BAU-00048,5845,6/20/13,2013,CT,Timor Leste,Forereef,Shallow,-8.44955703,126.3291798,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00053,5848,6/20/13,2013,CT,Timor Leste,Forereef,Shallow,-8.41693693,126.4109279,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BAU,NA,NA,NA,NA,
BAU-00059,5846,6/20/13,2013,CT,Timor Leste,Forereef,Mid,-8.42592719,126.3600583,-1,BAU,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BAU,NA,NA,NA,NA,
BOB-00003,5802,6/14/13,2013,CT,Timor Leste,Forereef,Mid,-8.84023553,125.0263596,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00005,5799,6/14/13,2013,CT,Timor Leste,Forereef,Mid,-8.84869421,125.0176093,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00007,5819,6/17/13,2013,CT,Timor Leste,Forereef,Mid,-8.8057616,125.0870618,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00011,5798,6/14/13,2013,CT,Timor Leste,Forereef,Mid,-8.8363796,125.0320512,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00014,5795,6/14/13,2013,CT,Timor Leste,Forereef,Shallow,-8.85612527,125.0118115,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00017,5797,6/14/13,2013,CT,Timor Leste,Forereef,Shallow,-8.86227038,125.0066292,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00019,5801,6/14/13,2013,CT,Timor Leste,Forereef,Shallow,-8.85854672,125.0100494,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00020,5794,6/14/13,2013,CT,Timor Leste,Forereef,Mid,-8.8441487,125.0222252,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00023,5800,6/14/13,2013,CT,Timor Leste,Forereef,Shallow,-8.83191691,125.0353305,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00080,5820,6/17/13,2013,CT,Timor Leste,Forereef,Shallow,-8.82138127,125.068406,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00082,5825,6/17/13,2013,CT,Timor Leste,Forereef,Mid,-8.81575081,125.0779335,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00086,5826,6/17/13,2013,CT,Timor Leste,Forereef,Mid,-8.82752093,125.0531903,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00087,5822,6/17/13,2013,CT,Timor Leste,Forereef,Mid,-8.82624345,125.0459931,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
BOB-00088,5823,6/17/13,2013,CT,Timor Leste,Forereef,Shallow,-8.82392652,125.0581032,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00092,5821,6/17/13,2013,CT,Timor Leste,Forereef,Shallow,-8.82496663,125.0560503,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,BOB,NA,NA,NA,NA,
BOB-00099,5824,6/17/13,2013,CT,Timor Leste,Forereef,Mid,-8.80998289,125.0828694,-1,BOB,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,BOB,NA,NA,NA,NA,
DIL-00001,5891,6/27/13,2013,CT,Timor Leste,Forereef,Shallow,-8.49514,125.8125949,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00004,5747,6/5/13,2013,CT,Timor Leste,Forereef,Mid,-8.49895746,125.7802917,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
DIL-00005,5746,6/5/13,2013,CT,Timor Leste,Forereef,Shallow,-8.4986754,125.7932087,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00007,5732,6/4/13,2013,CT,Timor Leste,Forereef,Shallow,-8.52251471,125.6077338,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefShallow,DIL,NA,NA,NA,NA,
DIL-00008,5748,6/5/13,2013,CT,Timor Leste,Forereef,Mid,-8.51271417,125.7465844,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
DIL-00010,5735,6/4/13,2013,CT,Timor Leste,Forereef,Mid,-8.52424708,125.6794229,-1,DIL,NA,NA,RANDOM,RAMP_BASIC,2013,ForereefMid,DIL,NA,NA,NA,NA,
