"SITEVISITID","EXCLUDE_FLAG","MISSIONID","ROUNDID","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","SITE","OLD_SITE","TYPE","CLIMATE_STATION_YN","PERM_SITE","OCC_SITEID","HABITAT_CODE","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE_SV","LONGITUDE_SV","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","OBS_YEAR","DATE_","TRANSECT_PHOTOS","PHOTOMOSAIC_YN","benth","fish","arms_d","arms_r","cau_d","cau_r","microb","ARMS","Benthic","CAU","Fish","Oceanography","HUMANS20","HUMANS200","ANALYSIS_SCHEME","bANALYSIS_SCHEME","TUT2012","OTHER_AREA_GROUPING","SPECIAL_PROJ_YN","SPECIAL_PROJ_DESCRIPTION"
1,0,"TC0011",22,"NWHI","Nihoa","Nihoa","Forereef","Mid","NIH-00001","NIH-01","Haphazard",0,-1,NA,NA,12,12,NA,NA,23.055,-161.93,"2000",2000,"9/9/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
2,0,"TC0011",22,"NWHI","Nihoa","Nihoa","Forereef","Mid","NIH-00002","NIH-02","Haphazard",0,-1,NA,NA,11,11,NA,NA,23.055,-161.92992,"2000",2000,"9/9/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
3,0,"TC0011",22,"NWHI","Necker","Necker","Forereef","Mid","NEC-00001","NEC-01","Haphazard",0,-1,NA,NA,13,13,NA,NA,23.573333,-164.705,"2000",2000,"9/10/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
4,0,"TC0011",22,"NWHI","Necker","Necker","Forereef","Mid","NEC-00002","NEC-02","Haphazard",0,-1,NA,NA,12,13,NA,NA,23.578217,-164.706417,"2000",2000,"9/10/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
5,0,"TC0011",22,"NWHI","Necker","Necker","Forereef","Mid","NEC-00003","NEC-03","Haphazard",0,-1,NA,NA,15,15,NA,NA,23.573333,-164.69,"2000",2000,"9/10/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
6,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Lagoon","Mid","FFS-00006","FFS-06","Haphazard",0,-1,NA,NA,7,7,NA,NA,23.794717,-166.0829,"2000",2000,"9/13/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
7,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Lagoon","Mid","FFS-00007","FFS-07","Haphazard",0,-1,NA,NA,11,11,NA,NA,23.788767,-166.219967,"2000",2000,"9/13/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
8,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Lagoon","Shallow","FFS-00008","FFS-08","Haphazard",0,-1,NA,NA,5,5,NA,NA,23.789283,-166.226467,"2000",2000,"9/13/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
9,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Protected Slope","Mid","FFS-00009","FFS-09","Haphazard",0,-1,NA,NA,8,8,NA,NA,23.732617,-166.172917,"2000",2000,"9/14/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
10,0,"TC0011",22,"NWHI","French Frigate","French Frigate","Lagoon","Mid","FFS-00010","FFS-10","Haphazard",0,-1,NA,NA,13,13,NA,NA,23.74485,-166.172717,"2000",2000,"9/14/2000",NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,"NO SCHEME","NO SCHEME",NA,NA,NA,NA
