SITEVISITID,ROUNDID,MISSIONID,REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,new_MIN_DEPTH_M,new_MAX_DEPTH_M,SITE,OLD_SITE,OCC_SITEID,LATITUDE_SV,LONGITUDE_SV,LATITUDE_LOV,LONGITUDE_LOV,OBS_YEAR,ANALYSIS_YEAR,DATE_,HABITAT_CODE,EXCLUDE_FLAG,CLIMATE_STATION_YN,PERM_SITE,TRANSECT_PHOTOS,PHOTOMOSAIC_YN,benth,fish,arms_d,arms_r,cau_d,cau_r,microb,ARMS,Benthic,CAU,Fish,Oceanography,HUMANS20,HUMANS200,TYPE,ANALYSIS_SCHEME,bANALYSIS_SCHEME,TUT2012,OTHER_AREA_GROUPING,SPECIAL_PROJ_YN,SPECIAL_PROJ_DESCRIPTION
38100,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02408,GUA-2408,NA,13.585875,144.831439,13.60704,144.91777,2022,2022,04/12/2022 10.30.35,AGR,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38101,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Mid,NA,NA,GUA-02387,GUA-2387,NA,13.591884,144.832518,13.4703,144.64564,2022,2022,04/12/2022 11.27.32,AGR,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38102,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02411,GUA-2411,NA,13.582218,144.829874,13.55149,144.94446,2022,2022,04/12/2022 12.43.57,AGR,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38140,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02406,GUA-2406,NA,13.611421,144.832757,13.64796,144.88598,2022,2022,04/14/2022 10.13.42,PAV,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38141,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Mid,NA,NA,GUA-02390,GUA-2390,NA,13.606013,144.834246,13.4673,144.6789,2022,2022,04/14/2022 11.11.26,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38142,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02414,GUA-2414,NA,13.576139,144.826243,13.5129,144.91532,2022,2022,04/14/2022 12.23.50,AGR,0,-1,NA,0,-1,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38143,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02378,GUA-2378,NA,13.551015,144.807702,13.48522,144.87778,2022,2022,04/14/2022 13.27.12,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38144,180,RA2201_LEG3,MARIAN,Guam,GUA_WEST_OPEN,Forereef,Deep,NA,NA,GUA-02412,GUA-2412,NA,13.534073,144.799662,13.53679,144.93551,2022,2022,04/14/2022 14.31.52,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38160,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00005,ROT-05,OCC-ROT-001,14.183176,145.207092,14.18288,145.20702,2022,2022,04/15/2022 09.29.12,NA,0,-1,NA,-1,0,0,0,0,0,1,1,0,0,0,1,0,1,NA,NA,Oceanography,NA,NA,NA,NA,0,NA
38162,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Deep,NA,NA,ROT-00717,ROT-717,NA,14.195943,145.223757,14.195943,145.223757,2022,2022,04/15/2022 09.18.17,PSC,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38163,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00757,ROT-757,NA,14.186407,145.210192,14.186407,145.210192,2022,2022,04/15/2022 10.16.28,PSC,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38164,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00742,ROT-742,NA,14.177507,145.194457,14.177507,145.194457,2022,2022,04/15/2022 11.25.26,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38165,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Deep,NA,NA,ROT-00711,ROT-711,NA,14.175331,145.184415,14.198567,145.267138,2022,2022,04/15/2022 12.21.57,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
38166,180,RA2201_LEG3,MARIAN,Rota,Rota,Forereef,Mid,NA,NA,ROT-00735,ROT-735,NA,14.170585,145.165989,14.170585,145.165989,2022,2022,04/15/2022 13.28.13,AGR,0,-1,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA,NA,Fish,RAMP_BASIC,NA,NA,NA,0,NA
