SEC_NAME,ISLAND,REGION,OTHER_POOL_LEVEL,HUMAN_IMPACT,COARSE_STRUCT,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,Notes
11-mile bank,11-mile bank,MARIAN,BANK,U,U,Forereef,Deep,2.642415605,N,11-mile bank,11-mile bank,11-mile bank,11-mile bank,11-mile bank,
Agrihan,Agrihan,MARIAN,NTH_MAR,U,U,Forereef,Deep,455.6356862,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,
Agrihan,Agrihan,MARIAN,NTH_MAR,U,U,Forereef,Mid,51.8014133,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,
Agrihan,Agrihan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,343.1901754,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,
Aguijan,Aguijan,MARIAN,STH_MAR,U,U,Forereef,Deep,119.2887963,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,
Aguijan,Aguijan,MARIAN,STH_MAR,U,U,Forereef,Mid,129.0007981,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,
Aguijan,Aguijan,MARIAN,STH_MAR,U,U,Forereef,Shallow,157.3007294,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,
Alamagan,Alamagan,MARIAN,NTH_MAR,U,U,Forereef,Deep,112.8532954,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,
Alamagan,Alamagan,MARIAN,NTH_MAR,U,U,Forereef,Mid,162.4144779,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,
Alamagan,Alamagan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,71.071876,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,
Anatahan,Anatahan,MARIAN,NTH_MAR,U,U,Forereef,Deep,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,"Assume average size island, assume dms each 1/3"
Anatahan,Anatahan,MARIAN,NTH_MAR,U,U,Forereef,Mid,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,"Assume average size island, assume dms each 1/3"
Anatahan,Anatahan,MARIAN,NTH_MAR,U,U,Forereef,Shallow,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,"Assume average size island, assume dms each 1/3"
Arakane,Arakane,MARIAN,BANK,U,U,Forereef,Deep,24.5959461,N,Arakane,Arakane,Arakane,Arakane,Arakane,
Arakane,Arakane,MARIAN,BANK,U,U,Forereef,Mid,23.2565184,N,Arakane,Arakane,Arakane,Arakane,Arakane,
Asuncion,Asuncion,MARIAN,NTH_MAR,U,U,Forereef,Deep,64.03633046,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,
Asuncion,Asuncion,MARIAN,NTH_MAR,U,U,Forereef,Mid,130.7967187,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,
Asuncion,Asuncion,MARIAN,NTH_MAR,U,U,Forereef,Shallow,53.77229254,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,BANK,U,U,Forereef,Deep,78.47331358,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,BANK,U,U,Forereef,Mid,52.80542635,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,BANK,U,U,Forereef,Shallow,20.23990304,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,
Farallon de Pajaros,Farallon de Pajaros,MARIAN,NTH_MAR,U,U,Forereef,Deep,36.860822,N,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,
Farallon de Pajaros,Farallon de Pajaros,MARIAN,NTH_MAR,U,U,Forereef,Mid,68.68271,N,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,
Farallon de Pajaros,Farallon de Pajaros,MARIAN,NTH_MAR,U,U,Forereef,Shallow,32.916547,N,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,
Galvez,Galvez,MARIAN,BANK,U,U,Forereef,Deep,15.29549096,N,Galvez,Galvez,Galvez,Galvez,Galvez,
