REGION,ISLAND,SEC_NAME,REEF_ZONE,DEPTH_BIN,AREA_HA,NH,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,A_BENTHIC_REP_CARD,BENTHIC_SEC_CODE,GEN_MHI_STRUCTURE,PROTECTION_DS,NOTES
CT,Timor Leste,ATA,Forereef,Mid,1,NA,ATA,ATA,ATA,ATA,ATA,ATA,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,ATA,Forereef,Shallow,1,NA,ATA,ATA,ATA,ATA,ATA,ATA,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BAU,Forereef,Mid,1,NA,BAU,BAU,BAU,BAU,BAU,BAU,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BAU,Forereef,Shallow,1,NA,BAU,BAU,BAU,BAU,BAU,BAU,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BOB,Forereef,Mid,1,NA,BOB,BOB,BOB,BOB,BOB,BOB,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,BOB,Forereef,Shallow,1,NA,BOB,BOB,BOB,BOB,BOB,BOB,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,DIL,Forereef,Mid,1,NA,DIL,DIL,DIL,DIL,DIL,DIL,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,DIL,Forereef,Shallow,1,NA,DIL,DIL,DIL,DIL,DIL,DIL,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LAU,Forereef,Mid,1,NA,LAU,LAU,LAU,LAU,LAU,LAU,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
CT,Timor Leste,LAU,Forereef,Shallow,1,NA,LAU,LAU,LAU,LAU,LAU,LAU,Timor Leste,Timor Leste,NA,NA,"Unkown Size ,, setting to 1 (so all reef zones equal, and as placeholder that is obvioulsy wrong)"
