"","REGION","ISLAND","DIVEID","SEGMENT","ANALYSIS_SEC"
"1","MARIAN","Guam",201105051,1,"GUAM_EAST_OPEN"
"2","MARIAN","Guam",201105051,2,"GUAM_EAST_OPEN"
"3","MARIAN","Guam",201105051,3,"GUAM_EAST_OPEN"
"4","MARIAN","Guam",201105051,4,"GUAM_EAST_OPEN"
"5","MARIAN","Guam",201105051,5,"GUAM_EAST_OPEN"
"6","MARIAN","Guam",201105051,6,"GUAM_EAST_OPEN"
"7","MARIAN","Guam",201105051,7,"GUAM_EAST_OPEN"
"8","MARIAN","Guam",201105051,8,"GUAM_EAST_OPEN"
"9","MARIAN","Guam",201105051,9,"GUAM_EAST_OPEN"
"10","MARIAN","Guam",201105051,10,"GUAM_EAST_OPEN"
"11","MARIAN","Guam",201105052,1,"GUAM_EAST_OPEN"
"12","MARIAN","Guam",201105052,2,"GUAM_EAST_OPEN"
"13","MARIAN","Guam",201105052,3,"GUAM_EAST_OPEN"
"14","MARIAN","Guam",201105052,4,"GUAM_EAST_OPEN"
"15","MARIAN","Guam",201105052,5,"GUAM_EAST_OPEN"
"16","MARIAN","Guam",201105052,6,"GUAM_EAST_OPEN"
"17","MARIAN","Guam",201105052,7,"GUAM_EAST_OPEN"
"18","MARIAN","Guam",201105052,8,"GUAM_EAST_OPEN"
"19","MARIAN","Guam",201105052,9,"GUAM_EAST_OPEN"
"20","MARIAN","Guam",201105052,10,"GUAM_EAST_OPEN"
"21","MARIAN","Guam",201105053,1,"GUAM_EAST_OPEN"
"22","MARIAN","Guam",201105053,2,"GUAM_EAST_OPEN"
"23","MARIAN","Guam",201105053,3,"GUAM_EAST_OPEN"
"24","MARIAN","Guam",201105053,4,"GUAM_EAST_OPEN"
"25","MARIAN","Guam",201105053,5,"GUAM_EAST_OPEN"
"26","MARIAN","Guam",201105053,6,"GUAM_EAST_OPEN"
"27","MARIAN","Guam",201105053,7,"GUAM_EAST_OPEN"
"28","MARIAN","Guam",201105053,8,"GUAM_EAST_OPEN"
"29","MARIAN","Guam",201105053,9,"GUAM_EAST_OPEN"
"30","MARIAN","Guam",201105053,10,"GUAM_EAST_OPEN"
"31","MARIAN","Guam",201105054,1,"GUAM_EAST_OPEN"
"32","MARIAN","Guam",201105054,2,"GUAM_EAST_OPEN"
"33","MARIAN","Guam",201105054,3,"GUAM_EAST_OPEN"
"34","MARIAN","Guam",201105054,4,"GUAM_EAST_OPEN"
"35","MARIAN","Guam",201105054,5,"GUAM_EAST_OPEN"
"36","MARIAN","Guam",201105054,6,"GUAM_EAST_OPEN"
"37","MARIAN","Guam",201105054,7,"GUAM_EAST_OPEN"
"38","MARIAN","Guam",201105054,8,"GUAM_EAST_OPEN"
"39","MARIAN","Guam",201105054,9,"GUAM_EAST_OPEN"
"40","MARIAN","Guam",201105054,10,"GUAM_EAST_OPEN"
"41","MARIAN","Guam",201105055,1,"GUAM_EAST_OPEN"
"42","MARIAN","Guam",201105055,2,"GUAM_EAST_OPEN"
"43","MARIAN","Guam",201105055,3,"GUAM_EAST_OPEN"
"44","MARIAN","Guam",201105055,4,"GUAM_EAST_OPEN"
"45","MARIAN","Guam",201105055,5,"GUAM_EAST_OPEN"
"46","MARIAN","Guam",201105055,6,"GUAM_EAST_OPEN"
"47","MARIAN","Guam",201105055,7,"GUAM_EAST_OPEN"
"48","MARIAN","Guam",201105055,8,"GUAM_EAST_OPEN"
"49","MARIAN","Guam",201105055,9,"GUAM_EAST_OPEN"
"50","MARIAN","Guam",201105055,10,"GUAM_EAST_OPEN"
"51","MARIAN","Guam",201105061,1,"GUAM_WEST_OPEN"
"52","MARIAN","Guam",201105061,2,"GUAM_WEST_OPEN"
"53","MARIAN","Guam",201105061,3,"GUAM_WEST_OPEN"
"54","MARIAN","Guam",201105061,4,"GUAM_WEST_OPEN"
"55","MARIAN","Guam",201105061,5,"GUAM_WEST_OPEN"
"56","MARIAN","Guam",201105061,6,"GUAM_WEST_OPEN"
"57","MARIAN","Guam",201105061,7,"GUAM_WEST_OPEN"
"58","MARIAN","Guam",201105061,8,"GUAM_WEST_OPEN"
"59","MARIAN","Guam",201105061,9,"GUAM_WEST_OPEN"
"60","MARIAN","Guam",201105061,10,"GUAM_WEST_OPEN"
"61","MARIAN","Guam",201105062,1,"GUAM_WEST_OPEN"
"62","MARIAN","Guam",201105062,2,"GUAM_WEST_OPEN"
"63","MARIAN","Guam",201105062,3,"GUAM_WEST_OPEN"
"64","MARIAN","Guam",201105062,4,"GUAM_WEST_OPEN"
"65","MARIAN","Guam",201105062,5,"GUAM_WEST_OPEN"
"66","MARIAN","Guam",201105062,6,"GUAM_WEST_OPEN"
"67","MARIAN","Guam",201105062,7,"GUAM_WEST_OPEN"
"68","MARIAN","Guam",201105062,8,"GUAM_WEST_OPEN"
"69","MARIAN","Guam",201105062,9,"GUAM_WEST_OPEN"
"70","MARIAN","Guam",201105062,10,"GUAM_WEST_OPEN"
"71","MARIAN","Guam",201105063,1,"PATI_PT_MPA"
"72","MARIAN","Guam",201105063,2,"PATI_PT_MPA"
"73","MARIAN","Guam",201105063,3,"PATI_PT_MPA"
"74","MARIAN","Guam",201105063,4,"PATI_PT_MPA"
"75","MARIAN","Guam",201105063,5,"PATI_PT_MPA"
"76","MARIAN","Guam",201105063,6,"PATI_PT_MPA"
"77","MARIAN","Guam",201105063,7,"PATI_PT_MPA"
