"","REGION","ISLAND","DIVEID","SEGMENT","ANALYSIS_SEC"
"520","MHI","Hawaii",201010081,1,"HAW_HAMAKUA"
"521","MHI","Hawaii",201010081,2,"HAW_HAMAKUA"
"522","MHI","Hawaii",201010081,3,"HAW_HAMAKUA"
"523","MHI","Hawaii",201010081,4,"HAW_HAMAKUA"
"524","MHI","Hawaii",201010081,5,"HAW_HAMAKUA"
"525","MHI","Hawaii",201010081,6,"HAW_HAMAKUA"
"526","MHI","Hawaii",201010081,7,"HAW_HAMAKUA"
"527","MHI","Hawaii",201010081,8,"HAW_HAMAKUA"
"528","MHI","Hawaii",201010081,9,"HAW_HAMAKUA"
"529","MHI","Hawaii",201010081,10,"HAW_HAMAKUA"
"530","MHI","Hawaii",201010082,1,"HAW_HAMAKUA"
"531","MHI","Hawaii",201010082,2,"HAW_HAMAKUA"
"532","MHI","Hawaii",201010082,3,"HAW_HAMAKUA"
"533","MHI","Hawaii",201010082,4,"HAW_HAMAKUA"
"534","MHI","Hawaii",201010082,5,"HAW_HAMAKUA"
"535","MHI","Hawaii",201010082,6,"HAW_HAMAKUA"
"536","MHI","Hawaii",201010082,7,"HAW_HAMAKUA"
"537","MHI","Hawaii",201010082,8,"HAW_HAMAKUA"
"538","MHI","Hawaii",201010082,9,"HAW_HAMAKUA"
"539","MHI","Hawaii",201010082,10,"HAW_HAMAKUA"
"540","MHI","Hawaii",201010083,1,"HAW_HAMAKUA"
"541","MHI","Hawaii",201010083,2,"HAW_HAMAKUA"
"542","MHI","Hawaii",201010083,3,"HAW_HAMAKUA"
"543","MHI","Hawaii",201010083,4,"HAW_HAMAKUA"
"544","MHI","Hawaii",201010083,5,"HAW_HAMAKUA"
"545","MHI","Hawaii",201010083,6,"HAW_HAMAKUA"
"546","MHI","Hawaii",201010083,7,"HAW_HAMAKUA"
"547","MHI","Hawaii",201010083,8,"HAW_HAMAKUA"
"548","MHI","Hawaii",201010083,9,"HAW_HAMAKUA"
