"","REGION","ISLAND","DIVEID","SEGMENT","ANALYSIS_SEC"
"2225","SAMOA","Tutuila",201002231,1,"TUT_NE"
"2226","SAMOA","Tutuila",201002231,2,"TUT_NE"
"2227","SAMOA","Tutuila",201002231,3,"TUT_NE"
"2228","SAMOA","Tutuila",201002231,4,"TUT_NE"
"2229","SAMOA","Tutuila",201002231,5,"TUT_NE"
"2230","SAMOA","Tutuila",201002231,6,"TUT_NE"
"2231","SAMOA","Tutuila",201002231,7,"TUT_NE"
"2232","SAMOA","Tutuila",201002231,8,"TUT_NE"
"2233","SAMOA","Tutuila",201002231,9,"TUT_NE"
"2234","SAMOA","Tutuila",201002231,10,"TUT_NE"
"2235","SAMOA","Tutuila",201002232,1,"TUT_NE"
"2236","SAMOA","Tutuila",201002232,2,"TUT_NE"
"2237","SAMOA","Tutuila",201002232,3,"TUT_NE"
"2238","SAMOA","Tutuila",201002232,4,"TUT_NE"
"2239","SAMOA","Tutuila",201002232,5,"TUT_NE"
"2240","SAMOA","Tutuila",201002232,6,"TUT_NE"
"2241","SAMOA","Tutuila",201002232,7,"TUT_NE"
"2242","SAMOA","Tutuila",201002232,8,"TUT_NE"
"2243","SAMOA","Tutuila",201002233,1,"TUT_NE"
"2244","SAMOA","Tutuila",201002233,2,"TUT_NE"
"2245","SAMOA","Tutuila",201002233,3,"TUT_NE"
"2246","SAMOA","Tutuila",201002233,4,"TUT_NE"
"2247","SAMOA","Tutuila",201002233,5,"TUT_NE"
"2248","SAMOA","Tutuila",201002233,6,"TUT_NE"
"2249","SAMOA","Tutuila",201002233,7,"TUT_NE"
"2250","SAMOA","Tutuila",201002233,8,"TUT_NE"
"2251","SAMOA","Tutuila",201002233,9,"TUT_NE"
"2252","SAMOA","Tutuila",201002233,10,"TUT_NE"
"2253","SAMOA","Tutuila",201002234,1,"TUT_NW"
"2254","SAMOA","Tutuila",201002234,2,"TUT_NW"
"2255","SAMOA","Tutuila",201002234,3,"TUT_NW"
"2256","SAMOA","Tutuila",201002234,4,"TUT_NW"
"2257","SAMOA","Tutuila",201002234,5,"TUT_NW"
"2258","SAMOA","Tutuila",201002234,6,"TUT_NW"
"2259","SAMOA","Tutuila",201002234,7,"TUT_NW"
"2260","SAMOA","Tutuila",201002234,8,"TUT_NW"
"2261","SAMOA","Tutuila",201002234,9,"TUT_NW"
"2262","SAMOA","Tutuila",201002234,10,"TUT_NW"
"2263","SAMOA","Tutuila",201002235,1,"TUT_NW"
"2264","SAMOA","Tutuila",201002235,2,"TUT_NW"
"2265","SAMOA","Tutuila",201002235,3,"TUT_NW"
"2266","SAMOA","Tutuila",201002235,4,"TUT_NW"
"2267","SAMOA","Tutuila",201002235,5,"TUT_NW"
"2268","SAMOA","Tutuila",201002235,6,"TUT_NW"
"2269","SAMOA","Tutuila",201002235,7,"TUT_NW"
"2270","SAMOA","Tutuila",201002235,8,"TUT_NW"
"2271","SAMOA","Tutuila",201002235,9,"TUT_NW"
"2272","SAMOA","Tutuila",201002235,10,"TUT_NW"
"2273","SAMOA","Tutuila",201002236,2,"TUT_NW"
"2274","SAMOA","Tutuila",201002236,3,"TUT_NW"
"2275","SAMOA","Tutuila",201002236,4,"TUT_NW"
"2276","SAMOA","Tutuila",201002236,5,"TUT_NW"
"2277","SAMOA","Tutuila",201002236,6,"TUT_NW"
"2278","SAMOA","Tutuila",201002236,7,"TUT_NW"
"2279","SAMOA","Tutuila",201002236,8,"TUT_NW"
"2280","SAMOA","Tutuila",201002236,9,"TUT_NW"
"2281","SAMOA","Tutuila",201002236,10,"TUT_NW"
"2282","SAMOA","Tutuila",201002241,1,"TUT_NE"
"2283","SAMOA","Tutuila",201002241,2,"TUT_NE"
"2284","SAMOA","Tutuila",201002241,3,"TUT_NE"
"2285","SAMOA","Tutuila",201002241,4,"TUT_NE"
"2286","SAMOA","Tutuila",201002241,5,"TUT_NE"
"2287","SAMOA","Tutuila",201002241,6,"TUT_NE"
"2288","SAMOA","Tutuila",201002241,7,"TUT_NE"
"2289","SAMOA","Tutuila",201002241,8,"TUT_NE"
"2290","SAMOA","Tutuila",201002241,9,"TUT_NE"
"2291","SAMOA","Tutuila",201002241,10,"TUT_NE"
"2292","SAMOA","Tutuila",201002242,2,"TUT_NE"
"2293","SAMOA","Tutuila",201002242,3,"TUT_NE"
"2294","SAMOA","Tutuila",201002242,4,"TUT_NE"
"2295","SAMOA","Tutuila",201002242,5,"TUT_NE"
"2296","SAMOA","Tutuila",201002242,6,"TUT_NE"
"2297","SAMOA","Tutuila",201002242,7,"TUT_NE"
"2298","SAMOA","Tutuila",201002242,8,"TUT_NE"
"2299","SAMOA","Tutuila",201002242,9,"TUT_NE"
"2300","SAMOA","Tutuila",201002242,10,"TUT_NE"
"2301","SAMOA","Tutuila",201002243,1,"TUT_NE"
"2302","SAMOA","Tutuila",201002243,2,"TUT_NE"
"2303","SAMOA","Tutuila",201002243,3,"TUT_NE"
"2304","SAMOA","Tutuila",201002243,4,"TUT_NE"
"2305","SAMOA","Tutuila",201002243,6,"TUT_NE"
"2306","SAMOA","Tutuila",201002243,7,"TUT_NE"
"2307","SAMOA","Tutuila",201002243,8,"TUT_NE"
"2308","SAMOA","Tutuila",201002243,9,"TUT_NE"
