DIVEID,SEGMENT,REGION,ISLAND,DATE_,OBS_YEAR,PROJECTEDLENGTH,CENTROIDLAT,CENTROIDLON,DEPTH,TEMPERATURE,REEF_ZONE
201105051,1,MARIAN,Guam,5/5/11,2011,271.9890594,13.51672156,144.9206115,12.73438525,29.25210492,Forereef
201105051,2,MARIAN,Guam,5/5/11,2011,259.1041764,13.51749126,144.9229063,13.97130328,29.21252131,Forereef
201105051,3,MARIAN,Guam,5/5/11,2011,274.4642804,13.51855825,144.925047,12.72741803,29.25812131,Forereef
201105051,4,MARIAN,Guam,5/5/11,2011,287.9244992,13.52000021,144.9271158,13.62370492,29.26584836,Forereef
201105051,5,MARIAN,Guam,5/5/11,2011,278.2536822,13.52191342,144.9287573,13.45698361,29.26816967,Forereef
201105051,6,MARIAN,Guam,5/5/11,2011,281.2292026,13.52389757,144.9303339,14.99959836,29.23982459,Forereef
201105051,7,MARIAN,Guam,5/5/11,2011,230.167347,13.52597286,144.9312098,16.34136066,29.1904877,Forereef
201105051,8,MARIAN,Guam,5/5/11,2011,170.7390769,13.52764788,144.931182,15.50454918,29.20147131,Forereef
201105051,9,MARIAN,Guam,5/5/11,2011,180.7810338,13.52916987,144.9313137,14.9927459,29.2284541,Forereef
201105051,10,MARIAN,Guam,5/5/11,2011,197.9131324,13.53074386,144.931967,15.47625833,29.24758167,Forereef
201105052,1,MARIAN,Guam,5/5/11,2011,222.7769455,13.48593245,144.8751961,16.04618852,29.31878934,Forereef
201105052,2,MARIAN,Guam,5/5/11,2011,216.1243182,13.48713538,144.8766814,16.4355082,29.31979262,Forereef
201105052,3,MARIAN,Guam,5/5/11,2011,220.0038311,13.48808718,144.8784082,15.56880328,29.32446721,Forereef
201105052,4,MARIAN,Guam,5/5/11,2011,234.7287077,13.489051,144.8801783,16.39770492,29.32492787,Forereef
201105052,5,MARIAN,Guam,5/5/11,2011,218.4281901,13.48956096,144.8821344,17.83484426,29.3244623,Forereef
201105052,6,MARIAN,Guam,5/5/11,2011,217.9459539,13.48975296,144.8840831,17.20327049,29.32433525,Forereef
201105052,7,MARIAN,Guam,5/5/11,2011,246.108225,13.49061703,144.8859824,17.09055738,29.32463197,Forereef
201105052,8,MARIAN,Guam,5/5/11,2011,258.9508309,13.4921282,144.8876604,18.04368852,29.32295492,Forereef
201105052,9,MARIAN,Guam,5/5/11,2011,242.1299019,13.49415919,144.888622,18.38734426,29.32043033,Forereef
201105052,10,MARIAN,Guam,5/5/11,2011,247.5618142,13.49556351,144.890282,18.0437,29.31206083,Forereef
201105053,1,MARIAN,Guam,5/5/11,2011,242.3092966,13.43639897,144.8163873,15.46655738,29.34733689,Forereef
201105053,2,MARIAN,Guam,5/5/11,2011,233.3570647,13.43770889,144.8178983,16.46555738,29.34473197,Forereef
201105053,3,MARIAN,Guam,5/5/11,2011,240.2118678,13.43925635,144.8193485,15.75703279,29.33532131,Forereef
