"","X","REGION","ISLAND","DIVEID","SEGMENT","ANALYSIS_SEC"
"1",1,"MARIAN","Guam",201105051,1,"GUAM_EAST_OPEN"
"2",2,"MARIAN","Guam",201105051,2,"GUAM_EAST_OPEN"
"3",3,"MARIAN","Guam",201105051,3,"GUAM_EAST_OPEN"
"4",4,"MARIAN","Guam",201105051,4,"GUAM_EAST_OPEN"
"5",5,"MARIAN","Guam",201105051,5,"GUAM_EAST_OPEN"
"6",6,"MARIAN","Guam",201105051,6,"GUAM_EAST_OPEN"
"7",7,"MARIAN","Guam",201105051,7,"GUAM_EAST_OPEN"
"8",8,"MARIAN","Guam",201105051,8,"GUAM_EAST_OPEN"
"9",9,"MARIAN","Guam",201105051,9,"GUAM_EAST_OPEN"
"10",10,"MARIAN","Guam",201105051,10,"GUAM_EAST_OPEN"
"11",11,"MARIAN","Guam",201105052,1,"GUAM_EAST_OPEN"
"12",12,"MARIAN","Guam",201105052,2,"GUAM_EAST_OPEN"
"13",13,"MARIAN","Guam",201105052,3,"GUAM_EAST_OPEN"
"14",14,"MARIAN","Guam",201105052,4,"GUAM_EAST_OPEN"
"15",15,"MARIAN","Guam",201105052,5,"GUAM_EAST_OPEN"
"16",16,"MARIAN","Guam",201105052,6,"GUAM_EAST_OPEN"
"17",17,"MARIAN","Guam",201105052,7,"GUAM_EAST_OPEN"
"18",18,"MARIAN","Guam",201105052,8,"GUAM_EAST_OPEN"
"19",19,"MARIAN","Guam",201105052,9,"GUAM_EAST_OPEN"
"20",20,"MARIAN","Guam",201105052,10,"GUAM_EAST_OPEN"
"21",21,"MARIAN","Guam",201105053,1,"GUAM_EAST_OPEN"
"22",22,"MARIAN","Guam",201105053,2,"GUAM_EAST_OPEN"
"23",23,"MARIAN","Guam",201105053,3,"GUAM_EAST_OPEN"
"24",24,"MARIAN","Guam",201105053,4,"GUAM_EAST_OPEN"
"25",25,"MARIAN","Guam",201105053,5,"GUAM_EAST_OPEN"
"26",26,"MARIAN","Guam",201105053,6,"GUAM_EAST_OPEN"
"27",27,"MARIAN","Guam",201105053,7,"GUAM_EAST_OPEN"
"28",28,"MARIAN","Guam",201105053,8,"GUAM_EAST_OPEN"
"29",29,"MARIAN","Guam",201105053,9,"GUAM_EAST_OPEN"
"30",30,"MARIAN","Guam",201105053,10,"GUAM_EAST_OPEN"
"31",31,"MARIAN","Guam",201105054,1,"GUAM_EAST_OPEN"
"32",32,"MARIAN","Guam",201105054,2,"GUAM_EAST_OPEN"
"33",33,"MARIAN","Guam",201105054,3,"GUAM_EAST_OPEN"
"34",34,"MARIAN","Guam",201105054,4,"GUAM_EAST_OPEN"
"35",35,"MARIAN","Guam",201105054,5,"GUAM_EAST_OPEN"
"36",36,"MARIAN","Guam",201105054,6,"GUAM_EAST_OPEN"
"37",37,"MARIAN","Guam",201105054,7,"GUAM_EAST_OPEN"
"38",38,"MARIAN","Guam",201105054,8,"GUAM_EAST_OPEN"
"39",39,"MARIAN","Guam",201105054,9,"GUAM_EAST_OPEN"
"40",40,"MARIAN","Guam",201105054,10,"GUAM_EAST_OPEN"
"41",41,"MARIAN","Guam",201105055,1,"GUAM_EAST_OPEN"
"42",42,"MARIAN","Guam",201105055,2,"GUAM_EAST_OPEN"
"43",43,"MARIAN","Guam",201105055,3,"GUAM_EAST_OPEN"
"44",44,"MARIAN","Guam",201105055,4,"GUAM_EAST_OPEN"
"45",45,"MARIAN","Guam",201105055,5,"GUAM_EAST_OPEN"
"46",46,"MARIAN","Guam",201105055,6,"GUAM_EAST_OPEN"
"47",47,"MARIAN","Guam",201105055,7,"GUAM_EAST_OPEN"
"48",48,"MARIAN","Guam",201105055,8,"GUAM_EAST_OPEN"
"49",49,"MARIAN","Guam",201105055,9,"GUAM_EAST_OPEN"
"50",50,"MARIAN","Guam",201105055,10,"GUAM_EAST_OPEN"
"51",51,"MARIAN","Guam",201105061,1,"GUAM_WEST_OPEN"
"52",52,"MARIAN","Guam",201105061,2,"GUAM_WEST_OPEN"
"53",53,"MARIAN","Guam",201105061,3,"GUAM_WEST_OPEN"
"54",54,"MARIAN","Guam",201105061,4,"GUAM_WEST_OPEN"
"55",55,"MARIAN","Guam",201105061,5,"GUAM_WEST_OPEN"
"56",56,"MARIAN","Guam",201105061,6,"GUAM_WEST_OPEN"
"57",57,"MARIAN","Guam",201105061,7,"GUAM_WEST_OPEN"
"58",58,"MARIAN","Guam",201105061,8,"GUAM_WEST_OPEN"
"59",59,"MARIAN","Guam",201105061,9,"GUAM_WEST_OPEN"
"60",60,"MARIAN","Guam",201105061,10,"GUAM_WEST_OPEN"
"61",61,"MARIAN","Guam",201105062,1,"GUAM_WEST_OPEN"
"62",62,"MARIAN","Guam",201105062,2,"GUAM_WEST_OPEN"
"63",63,"MARIAN","Guam",201105062,3,"GUAM_WEST_OPEN"
"64",64,"MARIAN","Guam",201105062,4,"GUAM_WEST_OPEN"
"65",65,"MARIAN","Guam",201105062,5,"GUAM_WEST_OPEN"
"66",66,"MARIAN","Guam",201105062,6,"GUAM_WEST_OPEN"
"67",67,"MARIAN","Guam",201105062,7,"GUAM_WEST_OPEN"
"68",68,"MARIAN","Guam",201105062,8,"GUAM_WEST_OPEN"
"69",69,"MARIAN","Guam",201105062,9,"GUAM_WEST_OPEN"
"70",70,"MARIAN","Guam",201105062,10,"GUAM_WEST_OPEN"
"71",71,"MARIAN","Guam",201105063,1,"PATI_PT_MPA"
"72",72,"MARIAN","Guam",201105063,2,"PATI_PT_MPA"
"73",73,"MARIAN","Guam",201105063,3,"PATI_PT_MPA"
"74",74,"MARIAN","Guam",201105063,4,"PATI_PT_MPA"
"75",75,"MARIAN","Guam",201105063,5,"PATI_PT_MPA"
"76",76,"MARIAN","Guam",201105063,6,"PATI_PT_MPA"
"77",77,"MARIAN","Guam",201105063,7,"PATI_PT_MPA"
"78",78,"MARIAN","Guam",201105063,8,"PATI_PT_MPA"
"79",79,"MARIAN","Guam",201105063,9,"PATI_PT_MPA"
"80",80,"MARIAN","Guam",201105063,10,"PATI_PT_MPA"
"81",81,"MARIAN","Guam",201105064,1,"PATI_PT_MPA"
"82",82,"MARIAN","Guam",201105064,2,"PATI_PT_MPA"
"83",83,"MARIAN","Guam",201105064,3,"PATI_PT_MPA"
"84",84,"MARIAN","Guam",201105064,4,"PATI_PT_MPA"
"85",85,"MARIAN","Guam",201105064,5,"PATI_PT_MPA"
"86",86,"MARIAN","Guam",201105064,6,"PATI_PT_MPA"
"87",87,"MARIAN","Guam",201105064,7,"PATI_PT_MPA"
"88",88,"MARIAN","Guam",201105064,8,"PATI_PT_MPA"
"89",89,"MARIAN","Guam",201105064,9,"PATI_PT_MPA"
"90",90,"MARIAN","Guam",201105064,10,"PATI_PT_MPA"
"91",91,"MARIAN","Guam",201105065,1,"PATI_PT_MPA"
"92",92,"MARIAN","Guam",201105065,2,"PATI_PT_MPA"
"93",93,"MARIAN","Guam",201105065,3,"PATI_PT_MPA"
"94",94,"MARIAN","Guam",201105065,4,"PATI_PT_MPA"
"95",95,"MARIAN","Guam",201105065,5,"PATI_PT_MPA"
"96",96,"MARIAN","Guam",201105065,6,"PATI_PT_MPA"
"97",97,"MARIAN","Guam",201105065,7,"PATI_PT_MPA"
"98",98,"MARIAN","Guam",201105065,8,"PATI_PT_MPA"
"99",99,"MARIAN","Guam",201105065,9,"PATI_PT_MPA"
"100",100,"MARIAN","Guam",201105065,10,"PATI_PT_MPA"
"101",101,"MARIAN","Guam",201105071,1,"GUAM_WEST_OPEN"
"102",102,"MARIAN","Guam",201105071,2,"GUAM_WEST_OPEN"
"103",103,"MARIAN","Guam",201105071,3,"GUAM_WEST_OPEN"
"104",104,"MARIAN","Guam",201105071,4,"GUAM_WEST_OPEN"
"105",105,"MARIAN","Guam",201105071,5,"GUAM_WEST_OPEN"
"106",106,"MARIAN","Guam",201105071,6,"GUAM_WEST_OPEN"
"107",107,"MARIAN","Guam",201105071,7,"GUAM_WEST_OPEN"
"108",108,"MARIAN","Guam",201105071,8,"GUAM_WEST_OPEN"
"109",109,"MARIAN","Guam",201105071,9,"GUAM_WEST_OPEN"
"110",110,"MARIAN","Guam",201105071,10,"GUAM_WEST_OPEN"
"111",111,"MARIAN","Guam",201105072,1,"GUAM_WEST_OPEN"
"112",112,"MARIAN","Guam",201105072,2,"GUAM_WEST_OPEN"
"113",113,"MARIAN","Guam",201105072,3,"GUAM_WEST_OPEN"
"114",114,"MARIAN","Guam",201105072,4,"GUAM_WEST_OPEN"
"115",115,"MARIAN","Guam",201105072,5,"GUAM_WEST_OPEN"
"116",116,"MARIAN","Guam",201105072,6,"GUAM_WEST_OPEN"
"117",117,"MARIAN","Guam",201105072,7,"GUAM_WEST_OPEN"
"118",118,"MARIAN","Guam",201105072,8,"GUAM_WEST_OPEN"
"119",119,"MARIAN","Guam",201105072,9,"GUAM_WEST_OPEN"
"120",120,"MARIAN","Guam",201105072,10,"GUAM_WEST_OPEN"
"121",121,"MARIAN","Guam",201105073,1,"GUAM_WEST_OPEN"
