REGION,ISLAND,DIVEID,Average
NWHI,Gardner,200009161,16.21990781
NWHI,Maro,200009181,11.92832877
NWHI,Maro,200009182,8.706547908
NWHI,Maro,200009183,11.71975597
NWHI,Maro,200009184,7.288705563
NWHI,Maro,200009203,10.31953351
NWHI,Laysan,200009211,10.89301183
NWHI,Laysan,200009212,10.33074531
NWHI,Laysan,200009213,9.42726699
NWHI,Kure,200010031,13.03917562
SAMOA?,BLANK,200010031,13.04
NWHI,Maro,200109211,8.925
NWHI,Maro,200109212,11.37
NWHI,Maro,200109213,7.3665
NWHI,Maro,200109221,11.15
NWHI,Maro,200109222,10.625
NWHI,Maro,200109223,10.425
NWHI,Maro,200109231,10.5
NWHI,Maro,200109232,7
NWHI,Maro,200109233,10.5
NWHI,Maro,200109241,10.79
NWHI,Maro,200109242,9.06
NWHI,Maro,200109243,4.67
NWHI,Maro,200109251,12.12
SAMOA?,BLANK,200202261,23
SAMOA?,BLANK,200202262,23.5
SAMOA?,BLANK,200202263,17.5
PRIAs,Kingman,200203191,15.5
PRIAs,Kingman,200203193,13
NWHI,Lisianski,200209296,5.642243069
NWHI,Gardner,200307191,12.46
NWHI,Gardner,200307192,12.944
PRIAs,Palmyra,200403291,9.493612313
PRIAs,Palmyra,200403292,14.6733702
PRIAs,Palmyra,200403293,13.34353328
PRIAs,Palmyra,200403294,10.83792013
PRIAs,Palmyra,200403295,8.739291757
PRIAs,Palmyra,200403301,10.07426456
PRIAs,Palmyra,200403302,15.31809401
PRIAs,Palmyra,200403303,19.92443687
PRIAs,Palmyra,200403304,12.16539517
PRIAs,Palmyra,200403305,21.04249507
PRIAs,Palmyra,200403306,5.944731281
PRIAs,Palmyra,200403311,14.44328147
PRIAs,Palmyra,200403312,15.35906407
PRIAs,Palmyra,200403313,15.45100952
PRIAs,Palmyra,200403314,12.66594643
PRIAs,Palmyra,200404011,11.54391806
PRIAs,Palmyra,200404012,8.803588889
PRIAs,Palmyra,200404013,12.35805
PRIAs,Palmyra,200404014,2.265998611
PRIAs,Palmyra,200404015,15.95267072
PRIAs,Palmyra,200404016,21.32247222
PRIAs,Kingman,200404021,8.405735441
PRIAs,Kingman,200404022,9.968655574
PRIAs,Kingman,200404023,10.40094343
PRIAs,Kingman,200404024,12.52183611
PRIAs,Kingman,200404025,12.74236689
PRIAs,Kingman,200404026,14.50519384
PRIAs,Kingman,200404031,11.49078017
PRIAs,Kingman,200404032,8.182687188
PRIAs,Kingman,200404033,12.96464393
PRIAs,Kingman,200404034,10.67107987
PRIAs,Kingman,200404035,10.61850749
PRIAs,Kingman,200404036,15.49020217
PRIAs,Kingman,200404041,12.89962396
PRIAs,Kingman,200404042,11.07123544
PRIAs,Kingman,200404043,9.165648087
PRIAs,Kingman,200404044,7.131440335
PRIAs,Kingman,200404045,3.453505799
PRIAs,Kingman,200404046,1.861779534
PRIAs,Wake,200510203,19.68666071
SAMOA?,BLANK,200602192,17
SAMOA?,BLANK,200602193,17
SAMOA?,BLANK,200602194,21.5
SAMOA?,BLANK,200602195,16.5
SAMOA?,BLANK,200602196,16.5
SAMOA?,BLANK,200602235,15.83333333
PRIAs,Kingman,200603302,10.02069601
MARIAN.STH,Tinian,200705251,15.74971
MARIAN.NTH,Maug,200705306,12.83546589
PRIAs,Baker,200802094,15.50327076
PRIAs,Baker,200802095,14.55725125
SAMOA?,BLANK,200803111,15.60606061
SAMOA?,BLANK,200803112,14.39393939
SAMOA?,BLANK,200803113,18.18181818
SAMOA?,BLANK,200803114,17.72727273
SAMOA?,BLANK,200803115,17.12121212
SAMOA?,BLANK,200803116,15.15151515
PRIAs,Wake,200903241,19.68322296
PRIAs,Wake,200903242,16.16074376
PRIAs,Wake,200903243,16.90579534
PRIAs,Wake,200903244,14.99360631
PRIAs,Wake,200903245,16.89400498
MARIAN.STH,Guam,200904051,14.76682529
MARIAN.STH,Guam,200904052,13.91982196
MARIAN.STH,Guam,200904053,14.53095507
MARIAN.STH,Guam,200904054,13.64267221
MARIAN.STH,Guam,200904055,14.39266388
MARIAN.NTH,Asuncion,200904251,12.37231185
MARIAN.NTH,Asuncion,200904252,12.30792341
MARIAN.NTH,Asuncion,200904253,16.40584359
MARIAN.NTH,Asuncion,200904254,12.10414618
MARIAN.NTH,Asuncion,200904255,13.51662748
PRIAs,Jarvis,201004011,13.16505342
PRIAs,Palmyra,201004071,16.2627218
MARIAN.STH,Tinian,201104094,13.97
MARIAN.NTH,Sarigan,201404193,14.53
SAMOA?,BLANK,201503131,18.9
SAMOA?,BLANK,201503132,15.3
SAMOA?,BLANK,201503133,17.4
SAMOA?,BLANK,201503134,16.7
SAMOA?,BLANK,201503135,16.9
