"","SPECIES","TAXONNAME","FAMILY","COMMON_FAMILY","CONSUMER_GROUP","LW_A","LW_B","LMAX","LENGTH_CONVERSION_FACTOR"
"1","ELBI","Elagatis bipinnulata","Carangidae","Jack","PISCIVORE",0.0135,2.92,180,0.77
"2","SPLE","Sphyrna lewini","Sphyrnidae","Hammerhead","PISCIVORE",0.00415,3.2387,400,0.77
"3","HAMM","Sphyrnidae","Sphyrnidae","Hammerhead","PISCIVORE",0.0042,3.239,600,0.77
"4","GEWA","Genicanthus watanabei","Pomacanthidae","Angelfish","PLANKTIVORE",0.0669,2.724,15,0.78
"5","NEFE","Nebrius ferrugineus","Ginglymostomatidae","Nurse","PISCIVORE",0.001,3.566,320,0.782
"6","TROB","Triaenodon obesus","Carcharhinidae","Requiem","PISCIVORE",0.0018,3.34393,213,0.8
"7","ACMA","Acanthurus maculiceps","Acanthuridae","Surgeonfish","PRIMARY",0.027,2.945,41,0.83
"8","NEME","Neopomacentrus metallicus","Pomacentridae","Damselfish","PLANKTIVORE",0.0258,2.933,8,0.84
"9","PSBI","Pseudanthias bicolor","Serranidae","Anthias","PLANKTIVORE",0.0155,3.121,13,0.84
"10","ACNI","Acanthurus nigricauda","Acanthuridae","Surgeonfish","PRIMARY",0.01678,3.16772,40,0.84
"11","CHCH","Chanos chanos","Chanidae","Milkfish","PRIMARY",0.00474,3.38911,180,0.84
"12","CHWE","Chromis weberi","Pomacentridae","Damselfish","PLANKTIVORE",0.0229,3.175,12,0.85
"13","PSTH","Pseudanthias thompsoni","Serranidae","Anthias","PLANKTIVORE",0.0155,3.121,22,0.85
"14","CAAB","Carcharhinus amblyrhynchos","Carcharhinidae","Requiem","PISCIVORE",0.0023,3.373,240,0.85
"15","CAGA","Carcharhinus galapagensis","Carcharhinidae","Requiem","PISCIVORE",0.0023,3.373,370,0.85
"16","POPA","Pomacentrus pavo","Pomacentridae","Damselfish","PLANKTIVORE",0.02518,2.97153,11,0.86
"17","CACE","Caesio caerulaurea","Caesionidae","Fusilier","PLANKTIVORE",0.01996,2.99141,35,0.86
"18","ACOL","Acanthurus olivaceus","Acanthuridae","Surgeonfish","PRIMARY",0.03839,3.055,40,0.86
