"","SPECIES","FAMILY","TAXONNAME","CONSUMER_GROUP","x"
"1","ACSO","Scombridae","Acanthocybium solandri","PISCIVORE",11
"2","ALCI","Carangidae","Alectis ciliaris","PISCIVORE",9
"3","APFU","Lutjanidae","Aphareus furca","PISCIVORE",25
"4","APVI","Lutjanidae","Aprion virescens","PISCIVORE",1725
"5","AUCH","Aulostomidae","Aulostomus chinensis","PISCIVORE",396
"6","NEED","Belonidae","Belonidae","PISCIVORE",12
"7","JACK","Carangidae","Carangidae","PISCIVORE",39
"8","CAFE","Carangidae","Carangoides ferdau","PISCIVORE",125
"9","CAOR","Carangidae","Carangoides orthogrammus","PISCIVORE",175
"10","CAIG","Carangidae","Caranx ignobilis","PISCIVORE",2830
"11","CALU","Carangidae","Caranx lugubris","PISCIVORE",1240
"12","CAME","Carangidae","Caranx melampygus","PISCIVORE",2400
"13","CAPP","Carangidae","Caranx papuensis","PISCIVORE",8
"14","CASE","Carangidae","Caranx sexfasciatus","PISCIVORE",11688
"15","CASP","Carangidae","Caranx sp","PISCIVORE",38
"16","SHAR","Carcharhinidae","Carcharhinidae","PISCIVORE",24
"17","CAAL","Carcharhinidae","Carcharhinus albimarginatus","PISCIVORE",1
"18","CAAB","Carcharhinidae","Carcharhinus amblyrhynchos","PISCIVORE",5360
"19","CAGA","Carcharhinidae","Carcharhinus galapagensis","PISCIVORE",413
"20","CAML","Carcharhinidae","Carcharhinus melanopterus","PISCIVORE",508
"21","CEAR","Serranidae","Cephalopholis argus","PISCIVORE",121
"22","CESX","Serranidae","Cephalopholis sexmaculata","PISCIVORE",3
"23","CESO","Serranidae","Cephalopholis sonnerati","PISCIVORE",1
"24","ELBI","Carangidae","Elagatis bipinnulata","PISCIVORE",3197
"25","ENPA","Muraenidae","Enchelycore pardalis","PISCIVORE",1
"26","EPLA","Serranidae","Epinephelus lanceolatus","PISCIVORE",4
"27","EPPO","Serranidae","Epinephelus polyphekadion","PISCIVORE",28
"28","EPQU","Serranidae","Epinephelus quernus","PISCIVORE",76
"29","EPSO","Serranidae","Epinephelus socialis","PISCIVORE",1
"30","EPSP","Serranidae","Epinephelus sp","PISCIVORE",38
"31","EPTA","Serranidae","Epinephelus tauvina","PISCIVORE",8
"32","EUAF","Scombridae","Euthynnus affinis","PISCIVORE",8
"33","FICO","Fistulariidae","Fistularia commersonii","PISCIVORE",923
"34","GACU","Carcharhinidae","Galeocerdo cuvier","PISCIVORE",3
"35","GNSP","Carangidae","Gnathanodon speciosus","PISCIVORE",4
"36","GOHA","Congridae","Gorgasia hawaiiensis","PISCIVORE",215
"37","GRAL","Serranidae","Gracila albomarginata","PISCIVORE",2
"38","GRBI","Scombridae","Grammatorcynus bilineatus","PISCIVORE",2
"39","GYUC","Scombridae","Gymnosarda unicolor","PISCIVORE",259
"40","GYFL","Muraenidae","Gymnothorax flavimarginatus","PISCIVORE",111
"41","GYJA","Muraenidae","Gymnothorax javanicus","PISCIVORE",84
"42","GYME","Muraenidae","Gymnothorax meleagris","PISCIVORE",52
"43","GYSP","Muraenidae","Gymnothorax sp","PISCIVORE",31
"44","GYUN","Muraenidae","Gymnothorax undulatus","PISCIVORE",87
"45","LEOL","Lethrinidae","Lethrinus olivaceus","PISCIVORE",118
"46","LEXA","Lethrinidae","Lethrinus xanthochilus","PISCIVORE",2
"47","LUBO","Lutjanidae","Lutjanus bohar","PISCIVORE",11256
"48","LUMO","Lutjanidae","Lutjanus monostigma","PISCIVORE",47
"49","MORA","Muraenidae","Muraenidae","PISCIVORE",3
"50","NEFE","Ginglymostomatidae","Nebrius ferrugineus","PISCIVORE",141
"51","NEAC","Carcharhinidae","Negaprion acutidens","PISCIVORE",1
"52","PACY","Mullidae","Parupeneus cyclostomus","PISCIVORE",22
"53","PLAL","Serranidae","Plectropomus areolatus","PISCIVORE",2
"54","PLLV","Serranidae","Plectropomus laevis","PISCIVORE",77
"55","PLLP","Serranidae","Plectropomus leopardus","PISCIVORE",2
"56","PSDE","Carangidae","Pseudocaranx dentex","PISCIVORE",285
"57","SCLY","Carangidae","Scomberoides lysan","PISCIVORE",98
"58","TUNA","Scombridae","Scombridae","PISCIVORE",12
"59","SCCA","Scorpaenidae","Scorpaenopsis cacopsis","PISCIVORE",1
"60","SEDU","Carangidae","Seriola dumerili","PISCIVORE",184
"61","GROU","Serranidae","Serranidae","PISCIVORE",29
"62","SPBA","Sphyraenidae","Sphyraena barracuda","PISCIVORE",486
"63","SPHE","Sphyraenidae","Sphyraena helleri","PISCIVORE",2805
"64","SPQE","Sphyraenidae","Sphyraena qenie","PISCIVORE",7098
"65","BARR","Sphyraenidae","Sphyraenidae","PISCIVORE",1496
"66","SPLE","Sphyrnidae","Sphyrna lewini","PISCIVORE",111
"67","SPMO","Sphyrnidae","Sphyrna mokarran","PISCIVORE",5
