SEC_NAME,ISLAND,REGION,REEF_ZONE,DEPTH_BIN,AREA_HA,UNCERTAIN_SIZE,RAMP_BASIC,MARI2011,MARI2014,TUT10_12,AS_SANCTUARY,REP_CARD,NOTES
11-mile bank,11-mile bank,MARIAN,Forereef,Deep,2.642415605,N,11-mile bank,11-mile bank,11-mile bank,11-mile bank,11-mile bank,NOT,
Agrihan,Agrihan,MARIAN,Forereef,Deep,455.6356862,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,
Agrihan,Agrihan,MARIAN,Forereef,Mid,51.8014133,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,
Agrihan,Agrihan,MARIAN,Forereef,Shallow,343.1901754,N,Agrihan,Agrihan,Agrihan,Agrihan,Agrihan,CNMI_UNPOP,
Aguijan,Aguijan,MARIAN,Forereef,Deep,119.2887963,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,
Aguijan,Aguijan,MARIAN,Forereef,Mid,129.0007981,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,
Aguijan,Aguijan,MARIAN,Forereef,Shallow,157.3007294,N,Aguijan,Aguijan,Aguijan,Aguijan,Aguijan,SaTiAg,
Alamagan,Alamagan,MARIAN,Forereef,Deep,112.8532954,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,
Alamagan,Alamagan,MARIAN,Forereef,Mid,162.4144779,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,
Alamagan,Alamagan,MARIAN,Forereef,Shallow,71.071876,N,Alamagan,Alamagan,Alamagan,Alamagan,Alamagan,CNMI_UNPOP,
Anatahan,Anatahan,MARIAN,Forereef,Deep,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,"Assume average size island, assume dms each 1/3"
Anatahan,Anatahan,MARIAN,Forereef,Mid,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,"Assume average size island, assume dms each 1/3"
Anatahan,Anatahan,MARIAN,Forereef,Shallow,393.9252048,Y,Anatahan,Anatahan,Anatahan,Anatahan,Anatahan,NOT,"Assume average size island, assume dms each 1/3"
Arakane,Arakane,MARIAN,Forereef,Deep,24.5959461,N,Arakane,Arakane,Arakane,Arakane,Arakane,NOT,
Arakane,Arakane,MARIAN,Forereef,Mid,23.2565184,N,Arakane,Arakane,Arakane,Arakane,Arakane,NOT,
Asuncion,Asuncion,MARIAN,Forereef,Deep,64.03633046,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,
Asuncion,Asuncion,MARIAN,Forereef,Mid,130.7967187,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,
Asuncion,Asuncion,MARIAN,Forereef,Shallow,53.77229254,N,Asuncion,Asuncion,Asuncion,Asuncion,Asuncion,MTMNM,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,Forereef,Deep,78.47331358,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,Forereef,Mid,52.80542635,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,
Farallon de Medenilla,Farallon de Medenilla,MARIAN,Forereef,Shallow,20.23990304,N,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,Farallon de Medenilla,NOT,
Farallon de Pajaros,Farallon de Pajaros,MARIAN,Forereef,Deep,36.860822,N,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,MTMNM,
Farallon de Pajaros,Farallon de Pajaros,MARIAN,Forereef,Mid,68.68271,N,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,Farallon de Pajaros,MTMNM,
